id,user_id,city,zip_code,region,country,is_default,created_at,updated_at
1,1,West Alyssaville,39845,Oregon,Pakistan,True,2023-02-24 21:04:50,2025-06-21 06:22:22
2,2,Derrickstad,33993,Arkansas,United States of America,True,2022-08-17 03:27:21,2025-03-31 20:15:13
3,2,North Lindsey,45557,Minnesota,Bolivia,False,2023-07-16 13:40:13,2024-11-11 06:24:21
4,3,New Anneport,84314,Arizona,Bermuda,False,2024-01-20 21:22:31,2024-11-07 01:37:31
5,3,Kellytown,88207,Virginia,Tokelau,True,2023-11-24 06:31:23,2024-09-27 14:07:13
6,4,Ryanshire,40511,New Jersey,Swaziland,True,2023-04-24 21:21:13,2025-01-19 21:52:11
7,5,Ericksonmouth,69779,South Carolina,Kyrgyz Republic,False,2023-08-30 10:03:52,2024-09-22 17:43:31
8,5,New Carol,80660,Delaware,Malaysia,True,2022-07-18 19:32:10,2025-06-17 10:27:36
9,6,South Cindyberg,35905,Idaho,Pakistan,False,2024-01-08 20:05:28,2024-07-04 23:50:19
10,6,Christinechester,03010,Connecticut,Uganda,True,2022-12-19 09:44:07,2024-07-24 02:44:50
11,7,Aguirreberg,01169,Florida,Macao,True,2023-11-02 10:35:55,2025-03-29 04:11:28
12,8,South Jason,25901,Colorado,Kiribati,True,2022-07-15 13:44:35,2025-02-04 02:56:05
13,9,Clarkbury,31797,South Dakota,Malta,True,2023-11-20 18:50:31,2025-04-30 16:37:10
14,10,Washingtonberg,96058,Minnesota,Macedonia,True,2023-10-16 12:08:31,2024-10-14 01:08:42
15,10,North Amandaview,41295,South Dakota,Anguilla,False,2022-07-08 05:13:41,2025-05-28 02:59:56
16,11,Chelseaburgh,02024,Florida,Peru,True,2023-03-19 20:10:12,2025-06-25 11:57:03
17,12,East Alexandraside,40220,North Carolina,United Kingdom,True,2024-06-19 08:50:13,2025-01-17 12:44:51
18,13,North Lindseyville,93759,South Carolina,Tonga,True,2023-10-14 11:01:30,2025-01-20 12:42:26
19,14,Garyville,51692,Missouri,Bulgaria,True,2024-02-18 00:34:33,2024-09-07 16:53:17
20,15,Chavezside,01544,Nevada,Dominican Republic,True,2023-02-22 09:51:16,2024-09-30 14:38:43
21,16,East Jeffreyside,64674,North Dakota,Bermuda,True,2022-10-09 04:39:36,2025-01-13 23:12:35
22,17,Thompsontown,09386,Wisconsin,Sri Lanka,True,2022-12-30 08:16:16,2024-11-26 11:18:26
23,18,Port Jacob,79762,Delaware,Norway,False,2023-03-29 00:57:05,2025-02-21 16:17:17
24,18,Kimberlymouth,88561,Hawaii,Morocco,True,2024-05-03 15:15:01,2025-01-19 06:11:08
25,19,Woodwardchester,85738,Texas,Dominican Republic,True,2022-07-29 02:18:20,2024-07-07 10:44:56
