id,email,phone_number,gender,password,full_name,provider,provider_id,role,is_verified,is_enabled,created_at,updated_at
1,user1@example.com,+233501230001,Female,hashed_password_1,User 1,GOOGLE,provider_1,CUSTOMER,True,True,2024-02-15 07:05:47.631980,2023-04-30 16:29:53.720486
2,user2@example.com,+233501230002,Female,hashed_password_2,User 2,GOOGLE,provider_2,VENDOR,False,True,2024-11-28 15:18:26.002998,2023-10-31 03:51:50.648753
3,user3@example.com,+233501230003,Female,hashed_password_3,User 3,FACEBOOK,provider_3,ADMIN,False,True,2024-10-25 17:34:25.300495,2023-06-23 15:20:45.888862
4,user4@example.com,+233501230004,Male,hashed_password_4,User 4,LOCAL,provider_4,CUSTOMER,False,True,2024-03-28 05:21:42.861067,2024-02-23 04:06:57.300623
5,user5@example.com,+233501230005,Female,hashed_password_5,User 5,LOCAL,provider_5,ADMIN,True,True,2024-01-28 23:57:00.445534,2023-06-15 13:49:28.915093
6,user6@example.com,+233501230006,Other,hashed_password_6,User 6,LOCAL,provider_6,CUSTOMER,True,True,2024-08-30 01:38:15.789009,2023-01-01 14:44:52.631977
7,user7@example.com,+233501230007,Male,hashed_password_7,User 7,FACEBOOK,provider_7,CUSTOMER,False,True,2023-03-21 08:19:42.355407,2023-11-06 07:19:14.715845
8,user8@example.com,+233501230008,Other,hashed_password_8,User 8,GOOGLE,provider_8,CUSTOMER,True,True,2023-05-03 20:21:21.716127,2024-03-07 18:39:31.884387
9,user9@example.com,+233501230009,Male,hashed_password_9,User 9,FACEBOOK,provider_9,ADMIN,True,True,2024-09-20 00:26:02.160870,2024-07-03 16:05:03.106105
10,user10@example.com,+233501230010,Male,hashed_password_10,User 10,FACEBOOK,provider_10,VENDOR,True,True,2023-03-19 12:09:36.532989,2024-05-04 03:54:14.385069
11,user11@example.com,+233501230011,Other,hashed_password_11,User 11,LOCAL,provider_11,CUSTOMER,True,True,2023-07-02 07:01:11.622954,2023-06-09 08:12:29.505840
12,user12@example.com,+233501230012,Male,hashed_password_12,User 12,FACEBOOK,provider_12,VENDOR,False,True,2024-09-04 11:20:44.546341,2023-04-25 02:17:44.386549
13,user13@example.com,+233501230013,Other,hashed_password_13,User 13,LOCAL,provider_13,ADMIN,False,True,2024-06-29 09:29:46.299548,2024-01-09 05:12:19.111114
14,user14@example.com,+233501230014,Other,hashed_password_14,User 14,LOCAL,provider_14,CUSTOMER,True,True,2023-04-28 08:30:19.567326,2024-08-31 14:38:13.512301
