id,business_name,business_email,business_phone,password,business_certificate_url,business_description,business_address,business_account_type,representative_name,representative_email,representative_phone,representative_gender,status,rejection_reason,created_at,updated_at
1,Lewis Group,app1@example.com,496.033.3784x141,L663SeDp(C,69f0345d-c538-496a-b247-2cd47ba759f1,True herself such friend professional.,"PSC 1860, Box 4965, APO AE 89859",retail,Travis Lee,rep1@example.com,903-223-3057x7038,Female,APPROVED,,2024-07-21 21:47:39,2025-07-03 16:08:24
2,Smith-Randolph,app2@example.com,(069)829-4280x509,s2K2ZJrj)8,16293105-6cf1-43f4-964d-25585500adb1,None Congress box that describe imagine.,"552 James Keys Apt. 366, Cooleyfort, DE 64090",wholesale,Joanne Williams,rep2@example.com,(619)098-6320x942,Female,APPROVED,,2024-08-18 13:15:57,2025-07-03 16:10:58
3,Lutz-Jackson,app3@example.com,070.386.3319,!NRS*9)i(7,8599d38c-2640-4547-8715-7f27a9c8f486,Travel every ask former end race itself.,"622 Jonathan Meadows Suite 948, Jeffreyhaven, GA 95393",wholesale,Christopher Robinson,rep3@example.com,139.398.2988x1972,Male,PENDING,,2024-11-18 04:21:29,2025-07-03 16:10:08
4,Kelley PLC,app4@example.com,709.193.6868,)MdOHfNx^2,64f2bb7a-5a7a-4c1f-beb1-7f184c969ca2,Service player to down.,"503 Cook Pass, Cassandraville, WA 47572",retail,Russell Lucas,rep4@example.com,472.588.5013x5471,Female,REJECTED,,2024-10-15 02:19:47,2025-07-03 16:10:18
5,"Clark, Figueroa and Calderon",app5@example.com,962-522-3172,d(346Ce4c7,ec7cded8-52f6-425d-85dc-4f11ac4f9c19,Appear performance force hit west development.,"9447 Emily Alley, Mossberg, MA 37044",wholesale,Ann Walsh,rep5@example.com,539-460-1311x20137,Male,APPROVED,,2025-02-14 07:19:51,2025-07-03 16:07:07
6,Williams-Hancock,app6@example.com,4909349478,_8SfuI$Lb5,10280c2b-bc73-448a-b824-4623e5025e61,Establish everyone thing do voice.,"774 Li Pine, Hallside, FL 88333",wholesale,Adam Phillips,rep6@example.com,+1-208-422-8336,Female,APPROVED,,2024-07-16 02:45:32,2025-07-03 16:09:48
7,Martinez LLC,app7@example.com,014-491-9287x76621,jHnip4Dis+,3bf43778-f147-4378-a813-6e419d88871c,Pressure during partner upon management agent.,"1061 Peter Estates, North Nancy, MA 36076",wholesale,David Adams,rep7@example.com,(540)212-3760,Female,APPROVED,,2024-08-04 00:24:20,2025-07-03 16:08:45
8,"Morrison, Brown and Tran",app8@example.com,+1-405-967-3999,%XCVsHW0z5,7cd68dac-83ee-4936-ba62-397f17cf4e27,Miss catch make yeah court.,"70615 Brennan Hills, Camposbury, VA 24514",wholesale,Cody Williams,rep8@example.com,(293)671-8077,Male,APPROVED,,2025-05-27 11:43:53,2025-07-03 16:06:11
9,Potter-Gardner,app9@example.com,(675)367-5834x6058,*afJVo%rX5,c962ca3e-8dc1-4d7a-ace0-c5a0ba9e1a6f,Clear summer end seem.,"706 Sanchez Shores Suite 860, New Annemouth, WA 10435",wholesale,Michael Howard,rep9@example.com,001-792-468-7183x8854,Female,APPROVED,Whatever group doctor you.,2024-09-15 08:16:03,2025-07-03 16:09:33
10,Daugherty Inc,app10@example.com,478-865-2033x462,@qb6suJjYe,7e8f5311-2035-4182-ada3-da3dc852ec7f,Hotel almost especially personal.,"318 Moore Meadows Apt. 699, New Danielle, AR 04667",wholesale,Rhonda Calhoun,rep10@example.com,(082)328-6582,Male,REJECTED,,2024-12-12 16:44:25,2025-07-03 16:06:00
11,Singh-Mckenzie,app11@example.com,001-574-440-1582,&5BXojRW(1,7c21746c-4920-4a01-89f3-d9e68082aa56,Moment if play concern bag campaign.,"7450 Morgan Freeway, South Rodneyberg, AK 21660",retail,Dean Moon,rep11@example.com,+1-728-773-3099,Male,REJECTED,,2025-04-05 06:11:15,2025-07-03 16:07:25
12,"Hart, Adams and Clay",app12@example.com,947-970-9451x4886,%fLgrSSI2e,5d7a0473-d6e7-4e1c-a3ce-1c43a34ae16f,Book stage coach happen keep similar plant.,"1293 Saunders Station Apt. 247, South April, KS 47482",wholesale,Phillip Young,rep12@example.com,9322381513,Female,PENDING,,2025-05-04 20:44:03,2025-07-03 16:06:34
13,"Becker, Harris and Graham",app13@example.com,+1-544-292-2599,Sm0#8OQfuP,5317311a-55c5-44f9-8fa3-23a3c29a83ba,Hear fly seat particular.,"62182 Manning Summit Suite 385, Donaldburgh, OR 14377",retail,Abigail Rowe,rep13@example.com,625.722.0880,Male,APPROVED,,2025-01-20 21:54:16,2025-07-03 16:08:30
14,"Hill, Fernandez and Brown",app14@example.com,324.281.0218x58539,&QaShDyR17,cb9cc316-e8dd-4fe0-ab7f-51a0b3d7f7a3,Chair local early when shake face grow do.,"74174 Ashley Coves Suite 793, Kellyfurt, MA 51737",retail,Christopher Lewis,rep14@example.com,5289073288,Female,APPROVED,,2024-09-11 12:14:07,2025-07-03 16:06:54
15,Watson-Holmes,app15@example.com,+1-018-500-1349x28447,U92SQpyY$),947915b4-3b5c-4b4c-9f3c-3de163b5323f,In turn option bed education gas center.,"9728 Lewis Port, East Tony, PA 74271",retail,Lindsey Johnson,rep15@example.com,359-864-9798,Male,REJECTED,,2025-04-08 01:48:05,2025-07-03 16:10:44
16,"Morales, Lee and Bates",app16@example.com,733.407.4156,cxXpbtKp@7,3f80e8b4-a86d-4247-b2fe-56292914aee7,Space success buy professor quite wear.,"810 Bennett Plaza, North Davidtown, OH 44945",retail,Elizabeth Rice,rep16@example.com,001-357-707-1568x262,Female,APPROVED,,2024-08-05 19:09:18,2025-07-03 16:07:34
17,Reed-Brennan,app17@example.com,727.394.2747x702,@#2Oyaj3r3,de6b573c-5873-4c4c-a442-38917260925a,Bill good among culture road line.,"707 Jeffrey Unions, Lake Anthonyhaven, VT 81483",retail,Laura Rodriguez,rep17@example.com,+1-883-628-4479,Female,PENDING,,2025-01-24 09:02:33,2025-07-03 16:08:53
18,Doyle-Patel,app18@example.com,001-879-131-5854,y*6z(wRxNm,8a34d7b4-d7ea-485d-b43c-8c97dcf2449a,He actually cold likely.,"75812 Grace Trail Apt. 791, Potterfurt, AL 59695",retail,David Marquez,rep18@example.com,(611)098-7701,Female,APPROVED,,2025-06-25 03:19:37,2025-07-03 16:07:57
19,Garcia Ltd,app19@example.com,001-420-672-5866x85249,&OIrEclQ0q,8cff8e97-277f-4f92-b9c1-7d540bff2014,Top seven hour interesting place.,"029 Anderson Forges, Stanleyburgh, SD 68204",retail,Patricia Smith,rep19@example.com,(637)694-5773x564,Female,APPROVED,,2025-04-23 09:41:11,2025-07-03 16:08:37
20,Alvarez Group,app20@example.com,(299)089-2214x6339,hhIQobg4)5,87a2d622-a9a1-4c86-ba6e-4a6f2c72c520,Account camera say daughter.,"01013 Obrien Canyon Suite 874, Port Amyshire, OH 44617",retail,James Boyd,rep20@example.com,701.601.9423,Female,APPROVED,,2025-03-03 23:56:49,2025-07-03 16:06:12
21,"Bullock, Reese and Salinas",app21@example.com,558.755.6341,Q%a97EBqG3,37f1f5b3-2f8b-4a04-8186-70aee0327f97,Right help support because result.,"55583 Amanda Estates Apt. 680, Josephbury, TN 58301",wholesale,Patricia Peterson,rep21@example.com,569-521-5544x3584,Female,APPROVED,,2025-04-11 09:35:02,2025-07-03 16:09:40
22,Daniels-Sanchez,app22@example.com,303-022-7518x4650,@04FDmT!y),4eb0b90e-28c9-4921-867e-c62ec28d3d41,Pay there without. Will total hear down.,"367 King Heights Suite 089, Emilyside, MO 33101",retail,Lisa Jones,rep22@example.com,(234)439-7696x18510,Male,PENDING,,2025-05-26 00:30:45,2025-07-03 16:08:45
23,Newman-Mcgrath,app23@example.com,045.459.1531x976,mP3AsMSM^5,8bf782f2-f252-4a01-8191-2d68d054cff7,Stock above stage kitchen important.,"776 Jennifer Ferry, Port Deborahside, VA 54216",retail,Cynthia Boyd DDS,rep23@example.com,+1-465-906-0043x202,Female,PENDING,,2024-10-04 02:52:46,2025-07-03 16:07:06
24,"Johnson, Ballard and Gomez",app24@example.com,936.893.1987,V%NJdgcs_7,3dd5e588-1c1d-4502-8518-6cf8a13b40f7,Hear approach grow cold. Let out site month.,"9892 Johnson Turnpike, Mosleyburgh, GA 15404",retail,Charles Wright,rep24@example.com,+1-441-970-4180x413,Male,APPROVED,,2024-07-28 12:04:15,2025-07-03 16:07:39
25,"King, Deleon and Luna",app25@example.com,(288)789-4661x771,(xG$A9Lv(8,aaf49f9d-3f11-4a29-bd6f-af6773989761,Interesting college most however continue.,"3903 Michael Roads Suite 756, Veronicaton, CA 21020",wholesale,Andrew Simpson,rep25@example.com,304.897.4175,Female,APPROVED,,2024-08-08 20:46:13,2025-07-03 16:07:25
26,Page-Chase,app26@example.com,284.482.2952x3646,a(5MIMrA!K,fc576a7f-8b9b-482a-aa4a-88b67ff22a2a,Whole him across five. Though still all risk.,"9600 Phillips Way Suite 590, Meganberg, ND 77765",retail,Amber Mckay,rep26@example.com,+1-765-385-6895x4044,Male,PENDING,,2025-02-26 14:52:02,2025-07-03 16:06:42
